,Ship Positions,Time Values,Time to Correct,Drift Time Values,Distances Without Correction,Distances Without Correction 2
89,2691360350000,7689601,5528.798833333333,5528.804362132166,1935079591.6666667,1935081526.746258
90,2721600350000,7776001,5427.998833333333,5428.004261332166,1899799591.6666665,1899801491.466258
91,2751840350000,7862401,5327.198833333333,5327.204160532166,1864519591.6666665,1864521456.1862578
92,2782080350000,7948801,5226.398833333334,5226.404059732166,1829239591.6666667,1829241420.9062583
93,2812320350000,8035201,5125.5988333333335,5125.603958932166,1793959591.6666667,1793961385.6262581
94,2842560350000,8121601,5024.798833333333,5024.803858132166,1758679591.6666667,1758681350.3462582
95,2872800350000,8208001,4923.998833333333,4924.003757332166,1723399591.6666665,1723401315.0662582
96,2903040350000,8294401,4823.198833333333,4823.203656532166,1688119591.6666665,1688121279.786258
97,2933280350000,8380801,4722.398833333334,4722.403555732167,1652839591.6666667,1652841244.5062582
98,2963520350000,8467201,4621.5988333333335,4621.603454932167,1617559591.6666667,1617561209.2262583
99,2993760350000,8553601,4520.798833333333,4520.8033541321665,1582279591.6666667,1582281173.9462583
100,3024000350000,8640001,4419.998833333333,4420.003253332166,1546999591.6666665,1547001138.6662583
101,3054240350000,8726401,4319.198833333333,4319.203152532166,1511719591.6666665,1511721103.3862581
102,3084480350000,8812801,4218.398833333334,4218.403051732166,1476439591.6666667,1476441068.1062582
103,3114720350000,8899201,4117.5988333333335,4117.602950932166,1441159591.6666667,1441161032.8262582
104,3144960350000,8985601,4016.7988333333333,4016.8028501321664,1405879591.6666667,1405880997.5462582
105,3175200350000,9072001,3915.9988333333336,3916.002749332167,1370599591.6666667,1370600962.2662585
106,3205440350000,9158401,3815.1988333333334,3815.202648532166,1335319591.6666667,1335320926.9862583
107,3235680350000,9244801,3714.398833333333,3714.402547732166,1300039591.6666665,1300040891.706258
108,3265920350000,9331201,3613.5988333333335,3613.6024469321665,1264759591.6666667,1264760856.4262583
109,3296160350000,9417601,3512.7988333333333,3512.8023461321663,1229479591.6666667,1229480821.146258
110,3326400350000,9504001,3411.9988333333336,3412.0022453321667,1194199591.6666667,1194200785.8662584
111,3356640350000,9590401,3311.1988333333334,3311.2021445321666,1158919591.6666667,1158920750.5862584
112,3386880350000,9676801,3210.398833333333,3210.4020437321665,1123639591.6666665,1123640715.3062582
113,3417120350000,9763201,3109.5988333333335,3109.6019429321664,1088359591.6666667,1088360680.0262582
114,3447360350000,9849601,3008.7988333333333,3008.8018421321663,1053079591.6666666,1053080644.7462581
115,3477600350000,9936001,2907.9988333333336,2908.0017413321666,1017799591.6666667,1017800609.4662583
116,3507840350000,10022401,2807.1988333333334,2807.2016405321665,982519591.6666666,982520574.1862583
117,3538080350000,10108801,2706.398833333333,2706.4015397321664,947239591.6666666,947240538.9062582
118,3568320350000,10195201,2605.5988333333335,2605.6014389321667,911959591.6666667,911960503.6262584
119,3598560350000,10281601,2504.7988333333333,2504.8013381321666,876679591.6666666,876680468.3462583
120,3628800350000,10368001,2403.9988333333336,2404.0012373321665,841399591.6666667,841400433.0662583
121,3659040350000,10454401,2303.1988333333334,2303.2011365321664,806119591.6666666,806120397.7862582
122,3689280350000,10540801,2202.398833333333,2202.4010357321663,770839591.6666666,770840362.5062582
123,3719520350000,10627201,2101.5988333333335,2101.6009349321666,735559591.6666667,735560327.2262583
124,3749760350000,10713601,2000.7988333333333,2000.8008341321665,700279591.6666666,700280291.9462583
125,3780000350000,10800001,1899.9988333333333,1900.0007333321664,664999591.6666666,665000256.6662582
126,3810240350000,10886401,1799.1988333333334,1799.2006325321665,629719591.6666666,629720221.3862582
127,3840480350000,10972801,1698.3988333333334,1698.4005317321667,594439591.6666667,594440186.1062583
128,3870720350000,11059201,1597.5988333333332,1597.6004309321665,559159591.6666666,559160150.8262583
129,3900960350000,11145601,1496.7988333333333,1496.8003301321664,523879591.6666666,523880115.5462583
130,3931200350000,11232001,1395.9988333333333,1396.0002293321666,488599591.6666667,488600080.2662583
131,3961440350000,11318401,1295.1988333333334,1295.2001285321667,453319591.6666667,453320044.9862583
132,3991680350000,11404801,1194.3988333333334,1194.4000277321666,418039591.6666667,418040009.7062583
133,4021920350000,11491201,1093.5988333333332,1093.5999269321665,382759591.6666666,382759974.42625827
134,4052160350000,11577601,992.7988333333333,992.7998261321666,347479591.6666666,347479939.1462583
135,4082400350000,11664001,891.9988333333333,891.9997253321666,312199591.6666667,312199903.8662583
136,4112640350000,11750401,791.1988333333334,791.1996245321666,276919591.6666667,276919868.5862583
137,4142880350000,11836801,690.3988333333333,690.3995237321666,241639591.66666666,241639833.3062583
138,4173120350000,11923201,589.5988333333333,589.5994229321666,206359591.66666666,206359798.02625832
139,4203360350000,12009601,488.79883333333333,488.79932213216665,171079591.66666666,171079762.74625832
140,4233600350000,12096001,387.9988333333333,387.9992213321666,135799591.66666666,135799727.46625832
141,4263840350000,12182401,287.1988333333333,287.1991205321666,100519591.66666666,100519692.18625832
142,4294080350000,12268801,186.39883333333333,186.39901973216664,65239591.666666664,65239656.90625832
143,4324320350000,12355201,85.59883333333333,85.59891893216665,29959591.666666664,29959621.62625833
